authors,body,datetime,title,url
Anna Cooban,"Apple is planning to buy more components from Vietnam, underscoring a trend among global tech firms to look beyond China to secure their supply chains, cut costs and open up new markets.CEO Tim Cook made the pledge in a meeting with Vietnamese Prime Minister Pham Minh Chinh in Hanoi Tuesday, according to a statement by Vietnam’s government.Apple (AAPL) has already spent almost $16 billion through its supply chain in the country since 2019, the government quoted Cook as saying. And the company has created more than 200,000 jobs in Vietnam, it added.According to the statement, Cook said Apple “stands ready … to enhance cooperation and investment activities” in the Southeast Asian country.His visit highlights Vietnam’s growing importance to global companies looking for alternatives to China as trade tensions between Beijing and the West have escalated in recent years.Vietnam has been a “major beneficiary” of moves by multinational companies to diversify their manufacturing hubs — a strategy known as “China plus one” — says Thuy Anh Nguyen, a strategist at Dragon Capital, a local fund management firm that invests solely in Vietnamese companies.Nguyen, whose firm manages $6 billion in assets, told CNN that labor costs in Vietnam’s manufacturing sector are about half those in neighboring China.That has helped Vietnam go from producing mostly “low-value products” like textiles to more tech products like iPhones and iPads, she said. “Those are higher-value items. That’s how we move up the value chain.”Vietnam pulled in more than $4.29 billion in foreign direct investment during the first two months of the year, up almost 39% from the same period in 2023, according to the country’s Ministry of Planning and Investment. Most of the new investment went into the processing and manufacturing sector.<h2>A ‘perfect landing spot’</h2>In recent years, fast-growing Asian economies like Vietnam and India have emerged as alternative locations for manufacturers as ties between Beijing and the West have frayed.Vietnam is “the perfect landing spot for tech companies to diversify outside China,” according to Dan Ives, a senior equity analyst at Wedbush Securities, who pointed to the high number of trained engineers in the country as one factor.“We’re not just talking about (manufacturing of) low-cost electronics,” he told CNN. “We’re talking higher up the value chain… That was not even on the radar (of foreign companies) two years ago.”Once enemies in war, the United States and Vietnam have grown increasingly close — the value of US imports of Vietnamese goods s﻿oared more than 360% in the decade to end-2023 to top $144 billion, according to US government data.In September, the two countries formally upgraded their diplomatic ties to a “comprehensive strategic partnership,” a symbolic yet highly important move that positions Vietnam as a destination for more US investment, including for critical technologies like semiconductor chips.Intel (INTC) has also taken note of Vietnam’s rise. In 2021, the company committed $1.5 billion to a sprawling campus just outside Ho Chi Minh City, which it says will be its largest single assembly and test facility in the world.At the same time, relations between the United States and China have deteriorated. A trade war between the two countries, which began in 2018 when Washington slapped tariffs on many Chinese imports, ratcheted up last year as both sides introduced tit-for-tat chipmaking export controls.During the pandemic, meanwhile, China’s strict zero-Covid policy scrambled global supply chains, demonstrating the risks of concentrating production in a single location.Notably, the world’s biggest iPhone factory, located in central China and owned by Taiwanese manufacturing firm Foxconn, was forced to temporarily shut down in 2022 after workers revolted over fears of the spread of coronavirus.<h2>Consumer market</h2>Vietnam has another advantage, says Nguyen: A booming, educated, and youthful population. That’s a big draw for foreign tech companies looking to hire workers for their factories, and find consumers for their products.“Vietnam has a population of 100 million people. If it was in Europe, it would be the biggest country,” she said, also noting that smartphone adoption in Vietnam was rapidly increasing.The International Monetary Fund expects Vietnam’s economy to growth 5.8% this year, much faster than the predicted global average of 3.2%. For 2025, the fund forecasts growth of 6.5% in Vietnam. That’s not far off India’s pace of expansion.Still, Vietnam represents a far smaller market than India, which has also been wooing large foreign companies, including Tesla (TSLA), to set up factories in the country.For now, Vietnam’s attractiveness to foreign firms is “more around supply than demand,” says Ives at Wedbush Securities, while, for India, it encompasses both.Juliana Liu contributed reporting.",2024-04-18 11:45:00,‘Perfect landing spot.’ Apple plans to spend more in Vietnam as it looks beyond China,https://edition.cnn.com/2024/04/18/tech/apple-vietnam-supply-chain-china/index.html
Bryan Mena,"Sales of previously owned homes in the United States fell in March as home prices climbed and mortgage rates held steady that month, reflecting the persistent pain of America’s affordability woes and undermining the crucial spring homebuying season.Existing home sales, which make up the majority of the housing market, fell 4.3% in March to a seasonally adjusted annual rate of 4.19 million, the sharpest drop in more than a year, the National Association of Realtors reported Thursday. Sales fell across the country except in the Northeast region, which saw an increase for the first time since November 2023.Meanwhile, the median price of an existing home was $393,500 last month, an increase of 4.8% from a year earlier. That was the highest March price on record. Rising home prices coupled with mortgage rates stuck at elevated levels means Americans are still dealing with a tough housing market.Home sales are up from the decades-lows seen last fall and were off to a robust start this year, but now that momentum seems to have come undone. Sales might not rise meaningfully higher as the Federal Reserve signals that it won’t cut interest rates anytime soon.“Though rebounding from cyclical lows, home sales are stuck because interest rates have not made any major moves,” NAR chief economist Lawrence Yun said in a release. “There are nearly six million more jobs now compared to pre-Covid highs, which suggests more aspiring homebuyers exist in the market.”<h2>A difficult road ahead for the market?</h2>Mortgage rates play a key role in determining housing affordability. That could be a frustrating sticking point.Last year, home sales were in the doldrums at their lowest level in nearly three decades as mortgage rates shot up, reaching a two-decade high of 7.79% in October.Then mortgage rates began to decline on hopes that the Fed would cut interest rates aggressively in 2024, but those expectations have been thrown out the window. Disappointing inflation reports and signs that the economy remains strong are keeping the Fed in wait-and-see mode, pushing back the timing of the first rate cut. Mortgage rates have held steady in recent weeks but are poised to rise because they track bond yields, which are climbing on persistently high inflation readings.Home prices nationwide, which also play a role in affordability, haven’t retreated in any meaningful way.One bright spot in NAR’s latest report on existing home sales: There was an increase in first-time homebuyers trickling into the market. They represented 32% of all transactions in March, up from 26% in February and 28% higher than a year ago, while the share of buyers who were investors declined in March.“Good to see that number go up above 30%” Yun said. That may be “because people heard about the lawsuit settlement where the buyers possibly need to come up with extra funds to pay up some professional representation, but they want to do it before the new rules takes place sometime in July,” Yun added.A historic NAR settlement, which was announced in March and is expected to change how homebuyers and sellers pay their real estate agents, hasn’t been approved by the courts yet. But it is already sending shockwaves through the real estate industry, with some buyers saying they plan to begin searching for a home before the new rules take effect.",2024-04-18 12:27:00,US homes sales dropped last month as March prices reached a record high,https://edition.cnn.com/2024/04/18/economy/us-homes-sales-march/index.html
Hanna Ziady,"Thousands of Taylor Swift’s UK fans have been duped into buying fake tickets for her upcoming Eras Tour concerts, according to a major British bank.More than 600 customers have reported being scammed so far, losing on average £332 ($414) each, and in some cases more than £1,000 ($1,247), Lloyds Bank said in a statement Wednesday.“As these figures are based solely on Lloyds Bank’s own customer data, it estimates that across the UK there are likely to have been at least 3,000 victims since tickets went on sale, with over £1 million being lost to fraudsters so far,” the lender added.The impact of Swift’s global Eras Tour has been felt far and wide — embroiling Singapore in a diplomatic spat; leaving Ticketmaster facing a court case from angry fans; and proving a major boon for the travel industry, local governments and even food banks.The tour — the highest-grossing of all time — kicked off in the United States in March 2023 and will wrap up in December this year. Swift performs the first of 15 concerts in the United Kingdom in June.With all UK dates now sold out, desperate fans are more likely to turn to resale sites and social media for tickets.Lloyds said it expects to see “many more fans fall victim to ticket scams in the coming weeks and months,” leading up to the first concert in Edinburgh, Scotland.“If you’re being asked to pay by bank transfer, particularly from a seller you’ve found on social media, that should immediately set alarm bells ringing,” said Liz Ziegler, fraud prevention director at Lloyds.“Buying directly from reputable, authorized platforms is the only way to guarantee you’re paying for a genuine ticket. Even then, always pay by debit or credit card for the greatest protection,” she added.According to UK Finance, a financial services industry association, Brits lost more than £40 million ($50 million) to “purchase scams,” including sales of fraudulent tickets, in the first half of last year.HSBC, Europe’s biggest bank, directed CNN to a “Ticket fraud” warning on its website dated April 2024, which said customers should avoid “buying gig, festival or sports tickets from anyone apart from official vendors, the box office or reputable fan seller sites.”“Criminals typically pose as a seller and post on social media or an online marketplace. They’ll tell you they’ll post or email the tickets once you’ve transferred the money to their bank account. But when you try to contact them after nothing’s arrived, they’ve disappeared off the face of the earth,” the warning added.HSBC said this happens to “thousands” of people every year. In November, the bank warned customers over ticket scams relating to Glastonbury, the popular outdoor music festival held annually in England in the summer.Kirsty Adams, a product manager at Barclays UK, said: “2024 is a huge year for entertainment — with Taylor Swift and Glastonbury kicking off the summer in June, closely followed by the Euros, the Olympics and the Paralympics.“Whilst most fans will have already secured their tickets, it’s likely we’ll see a surge of resales nearer the time, with scammers targeting fans who may have missed out and failed to secure a ticket in the ballot or draw process.”",2024-04-18 13:43:00,Taylor Swift fans lose at least $1 million to Eras Tour scams in the UK,https://edition.cnn.com/2024/04/18/business/eras-tour-scams-taylor-swift/index.html
Chris Isidore,"Here’s one advertiser that social media platform X doesn’t have to worry about losing because it’s turned off by Elon Musk’s comments: Tesla.The car company that famously shuns spending money on advertising spent $200,000 advertising on X through February of this year, it disclosed in an SEC filing this week.It’s not clear when the spending started, because Tesla doesn’t break out any spending in 2023, as it does in other listings of what are called “related person transactions” in the filing. So it’s possible that all $200,000 was spent in just the first two months of this year.X, formerly known as Twitter, has been hemorrhaging advertisers, its primary source of revenue, since Musk bought the platform in 2022.Sometimes advertisers have pulled out due to concerns about being associated with Musk’s controversial comments, such as his retweet of a tweet in November that said Jewish communities push “hatred against Whites.” To which Musk commented in his retweet “You have said the actual truth.”While Musk later apologized for his tweet, calling it his “dumbest” ever social media post, he took shots at advertisers who had left in its wake, telling them to “Go. F**k. Yourself.”The loss of advertising revenue since Musk bought what was then called Twitter has put the future of the company into question, according to comments from Musk himself.<h2>Tesla reluctant to advertise</h2>Tesla has become a major automaker without spending any money on advertising in the past. Musk had dismissed the need to adverstise.“Tesla does not advertise or pay for endorsements. Instead, we use that money to make the product great,” he said in a 2019 tweet.But the company has been facing weaker growth in demand for electric vehicles than many had forecast, and the headwind of higher interest rates make it more expensive for consumers to finance their car purchases. In response, Tesla has been cutting prices. Still, Tesla just reported its first year-over-year drop in sales since the peak of the pandemic.A year ago, in response to a question at the company’s shareholders meeting, Musk said the company would begin to advertise, though did not give any details.The Tesla filing also disclosed that the company spent about $700,000 in 2023 and another $100,000 in the first two months of 2024 on aircraft operated by SpaceX, the rocket company he also owns. And it spent $200,000 in 2023 and $1 million so far this year with The Boring Company, a company that digs tunnels that Musk also owns and operates.In addition the filing said that Musk also owns a security company, unnamed, that provides security services for him. And Tesla spent $2.4 million for such security services in 2023 and about $500,000 more so far this year.",2024-04-18 13:45:00,"Tesla discloses it spent $200,000 advertising on X",https://edition.cnn.com/2024/04/18/business/elon-musk-tesla-advertises-on-x/index.html
Michael Nam,"A male columnist has apologized for a cringeworthy moment during former University of Iowa superstar and college basketball’s highest scorer Caitlin Clark’s first news conference as an Indiana Fever player.The Wednesday exchange went viral on social media, and critics said it underscored the difficulties many female athletes have in gaining respect and equal treatment from sports journalists, who are frequently male.The discussion began with Gregg Doyel, a columnist for The Indianapolis Star newspaper’s IndyStar website, making a heart with his hands to Clark, a gesture Clark often used during her college basketball career.Clark responded, “You like that?” Doyel replied, “I like that you’re here,” and Clark explained, “Yeah, I do that at my family after every game.” Then Doyel added, “Start doing it to me and we’ll get along just fine.”Doyel apologized later that same day.“Today in my uniquely oafish way, while welcoming @CaitlinClark22 to Indy, I formed my hands into her signature [heart hands emoji],” he wrote in a post on X shortly after the incident. “My comment afterward was clumsy and awkward. I sincerely apologize.”In a separate post on X, he added: “Caitlin Clark, I’m so sorry. Today I was part of the problem,” the title of his apology column that published Wednesday.Even though Doyel posted his apologies to the social media platform, and in his own column, for the sexist remarks he made to the basketball phenom, the discussion he provoked about misogyny in sports hasn’t come to a close.Doyel’s back and forth with Clark was almost universally panned online. Media figures from Nicole Auerbach of The Athletic and NBC to Dave Portnoy (whose own Barstool Sports has been accused of upholding a sexist culture) slammed Doyel after the clip spread across the internet.Meanwhile, the Indy Star writer went so far as to use the stages of grief to illustrate how he arrived at his moment of clarity.“After going through denial, and then anger — I’m on the wrong side of this? Me??? — I now realize what I said and how I said it was wrong, wrong, wrong. I mean it was just wrong,” he wrote in his column. “Caitlin Clark, I’m so sorry.”But users on X accused him of using the incident as a way to produce content and of missing the point of the offending behavior.The controversy also comes as conversations about how WNBA players are compensated heat up and as the power of women in entertainment and sports reaches unprecedented heights.",2024-04-18 15:23:00,Sports columnist apologizes for ‘oafish’ comments directed at Caitlin Clark. The controversy isn’t over,https://edition.cnn.com/2024/04/18/media/caitlin-clark-gregg-doyel-apology-indianapolis/index.html
Hadas Gold,"The judge in former President Donald Trump’s historic criminal trial in Manhattan scolded the press on Thursday for reporting information that could potentially identify jurors assembled for the high-profile case.New York Supreme Court Judge Juan Merchan, who is overseeing the trial, told news outlets to watch how they report on the jurors and forbade the press from reporting where jurors are employed. The ruling came after one juror was dismissed from the trial after expressing concerns that portions of her identity had been made public by the news media.The juror told the judge she had concerns that she could not be impartial after those close to her asked if she was a juror on the case.“I’m directing that the press simply apply common sense and refrain from writing about anything that has to do with physical descriptions, it’s just not necessary, it serves no purpose,” the judge said, according to pool report from the courtroom.Concerns about the safety of prospective jurors are paramount in the first ever criminal trial of a former president amid a hyper-politicized atmosphere in the run up to the 2024 election.“We just lost what probably would’ve been a very good juror,” Merchan added. “The first thing she said was she was afraid and intimidated by the press.”Many news outlets have published stories about the jurors, including some general information about those selected for the trial. But some outlets, including Fox News, NBC, ABC, Politico and the New York Post, had gone a step further, reporting the specific employer of at least one of the jurors.Merchan said on Thursday that he agreed with Trump’s attorneys that information about prospective jurors’ employers is important, but that he will direct those answers to be struck from the court record and for the press not to report on them.“It’s become a problem,” Merchan said.Former federal prosecutor Jeffrey Toobin told CNN that Merchan could hold news outlets in contempt if they publish identifying information about a juror.“The First Amendment presents an almost total bar on telling people in advance what they can’t publish,” Toobin said. “The First Amendment doesn’t bar punishing people for what they do publish.”Toobin said it is “incumbent” upon the press to let the process proceed and leave the jury alone, while also balancing the public’s right to know.“It’s important to recognize that the public has a strong interest in everything about this trial, including the makeup of the jury, but that can be done in a way that preserves their anonymity,” Toobin added.This is a developing story and will be updated.",2024-04-18 13:47:00,Trump hush money trial judge scolds press after juror is dismissed over fears she had been identified,https://edition.cnn.com/2024/04/18/media/trump-trial-judge-scold-press-juror/index.html
Elisabeth Buchwald,"Columbia University President Minouche Shafik’s Wednesday testimony before a House committee on how the school responded to a professor’s controversial piece labeling Hamas’ October 7 attack a “resistance offensive” is at odds with the account the professor shared with CNN.Multiple lawmakers at Wednesday’s hearing on antisemitism at Columbia took particular issue with the professor, Joseph Massad’s, use of the word “awesome” in the piece describing scenes from the day of the attack, though not the attack itself.In the piece, Massad also said, “The sight of the Palestinian resistance fighters storming Israeli checkpoints separating Gaza from Israel was astounding.”Shafik told members of the House Committee on Education and the Workforce that she condemned the statements he made in the piece and was “appalled” by them. A university spokesperson confirmed that Massad was under investigation for allegedly making discriminatory remarks, as Shafik noted in her Wednesday testimony. Massad told CNN the investigation was “news” to him and he was not aware of it prior to Wednesday.When asked at the hearing if Massad, a tenured professor, faced any disciplinary action, Shafik responded he had been “spoken to” by the head of his department of Middle Eastern, South Asian and African Studies and his dean.Shafik said she did not participate in those discussions but that Massad was told the language he used in his piece “was unacceptable.”Massad told CNN no one said anything to him along those lines and he had not been reprimanded in any way.“I was shown solidarity by my chair and deans based on the death threats that I received and the campaign targeting me,” he said in an email to CNN.CNN reached out to his department chair and to the Dean of the Faculty of Arts and Sciences to confirm Massad’s statements.The department chair did not respond, while the dean, Amy Hungerford, referred the inquiry to a university spokesperson who did not offer any comment.“Both stories cannot be true,” Republican Rep. Tim Walberg, who inquired at Wednesday’s hearing about any disciplinary actions regarding Massad’s piece, said in an emailed statement to CNN on Thursday.“If Professor Massad’s department chair showed ‘solidarity’ following his comments, it undermines President Shafik’s testimony and raises even more concerns about the antisemitic atmosphere amongst faculty,” he added. “We must figure out who is telling the truth.”Initially, Shafik said Massad was no longer chair of the Academic Review Committee at Columbia and that he “does not have a leadership role.” But when Republican Rep. Elise Stefanik pointed out that he’s still listed as the chair of the committee on a Columbia site, Shafik said she “wasn’t sure.”Massad told CNN he remains chair of the committee that oversees all areas of Arts and Sciences, which covers five different schools within Columbia, until his one-year term expires in a few weeks. “No one has contacted me at all from the university with regards to my current chairmanship,” he said, adding that he intends to remain a member of the committee next year for a three-year term.“Professor Massad has chaired his final meeting of the academic review committee,” a different Columbia spokesperson told CNN. The spokesperson did not respond when asked by CNN to clarify if that meant he had been removed.CNN reached out to other professors who were criticized during the hearing, as well.Mohamed Abdou, who Shafik said expressed support for Hamas on social media following October 7, did not respond to a request for comment.Columbia Business School assistant professor Shai Davidai, who Shafik said was under investigation for harassment, told CNN that he has never spoken against students by name, only “pro-Hamas” student organizations and professors.“They’re investigating me for the entire reason this hearing was held in the first place. Columbia is investigating me for my social media tweets and only my social media tweets,” he said.",2024-04-18 14:19:00,Professor who Columbia president said was ‘spoken to’ for calling Hamas invasion ‘astounding’ says he wasn’t disciplined,https://edition.cnn.com/2024/04/17/business/professor-columbia-president-hamas-attack/index.html
,"Online furniture and home furnishings seller Wayfair is set to open its first-ever namesake store next month, the company announced  Thursday.The large-format store, clocking in at 150,000 square feet and located in Edens Plaza in Wilmette, Illinois, will open to shoppers on May 23. It will also feature an onsite restaurant called “The Porch,” the company said, taking a page out of Ikea’s store setup.Although this will be the first brick-and-mortar location for the Wayfair brand, the company has tinkered with opening test stores for some of its other owned brands, including Joss & Main and AllModern.But the move to expand its flagship Wayfair brands into physical stores comes as it struggles with sluggish sales and an increased need for spending on advertising.“Wayfair’s online business has been tremendously successful at generating sales. Unfortunately, it is not profitable because of the amount of marketing that has to be done to attract and retain customers,” said Neil Saunders, retail industry analyst and managing director at GlobalData Retail.Furniture stores need to always be advertising, Saunders added, because people generally don’t buy furniture very often. Wayfair constantly needs to remind customers that it even exists, as a result.But it’s not just the big advertising spend that’s hobbling the company. Sales are down, too.Wayfair posted a 1.8% drop in its annual sales in 2023, to $12 billion, and a net loss for the year. In January, the retailer laid off 1,650 workers, or 13% of its global workforce. This follows a separate round of layoffs in 2023 that eliminated 1,750 jobs.Its CEO, Niraj Shah, who went viral for telling his employees that they should be working longer hours as well as blending work with their personal lives, explained the company’s hardships in an open letter. Wayfair “went overboard in hiring during a strong economic period,” he wrote, referencing the pandemic lockdowns when online shopping spiked as homebound families spruced up their apartments, houses and backyards, sparking a “dramatic surge” in demand that doubled Wayfair’s sales to $18 billion.But, coming out of the pandemic, and with persistent inflation, buying highly discretionary big-ticket items like furniture quickly dropped off the shopping list for more budget-conscious consumers.Saunders said the new store could help drive sales and give Wayfair a more visible presence in the market that will “throw a halo around the online operation.”“It’s basically a recognition by Wayfair that people shop in an omnichannel way, and like to visit stores as well as use online. This is particularly important in furniture and finishings where people like to see and try out products before buying,” Saunders said.Whether the store makes a difference to Wayfair’s financials remains to be seen. “If this store is successful then it could be the start of wider physical expansion for Wayfair,” Saunders said.CNN’s Jordan Valinsky and Samantha Delouya contributed to this story.",2024-04-18 14:31:00,Wayfair is opening its first-ever physical furniture store,https://edition.cnn.com/2024/04/18/business/wayfair-first-namesake-store/index.html
Ramishah Maruf,"A federal agency accused a popular gas station chain of discriminating against Black, Native American and multiracial applicants in its hiring practices.The Sheetz criminal screening process disproportionately screened out applicants from those legally protected groups, the lawsuit announced by the US Equal Employment Opportunity Commission on Thursday alleged. The gas station chain screens and rejects applicants who have criminal records, the EEOC said.Those employment practices violate Title VII of the Civil Rights Act, which prohibits discrimination in the workplace, the suit said.Criminal records have been a barrier for certain workers to find jobs. More than half of unemployed men in their 30s have a history of criminal conviction or arrest that keeps them from fully participating in the labor market, a 2022 study from nonprofit research group RAND Corporation found. And minority groups who are incarcerated at higher rates relative to Whites can be put at even more of a disadvantage.The lawsuit doesn’t claim Sheetz was actively motivated by race when rejecting applicants. In a statement, Sheetz said it “does not tolerate discrimination of any kind.”“We take these allegations seriously.  We have attempted to work with the EEOC for nearly eight years to find common ground and resolve this dispute.  We will address the claims in Court when the time comes,” Nick Ruffner, PR Manager for Sheetz, said in a statement.The EEOC said the case is going to court after failing to reach a pre-litigation settlement.The alleged illegal hiring practices have taken place in Maryland since at least 2015, the lawsuit said.As part of the hiring process, applicants must answer questions about their criminal justice history and go through a background check through a third-party vendor. Those who fail the screening do not get hired.About 14.5% of Black applicants failed the screening, while less than 8% of White applicants failed, according to the lawsuit. Native Americans and multiracial applicants failed at a rate of about 13%.“Black job applicants comprise a disproportionately high number of the total number of job applicants whom Defendants have refused to hire because of criminal justice history information,” the lawsuit said. The lawsuit added that according to published statistics, Black people and Native Americans in the United States “are subject to arrest, conviction, and incarceration at significantly higher rates relative to White persons.”The EEOC said there are other screening methods available that wouldn’t discriminate.“Even when such necessity is proven, the practice remains unlawful if there is an alternative practice available that is comparably effective in achieving the employer’s goals but causes less discriminatory effect,” said EEOC Regional Attorney Debra M. Lawrence in a statement.The lawsuit seeks an order for Sheetz to end its current hiring practice and create equal employment policies and programs. It also seeks back pay for the affected applicants.Sheetz has more than 600 stores in Pennsylvania, West Virginia, Virginia, Maryland, Ohio and North Carolina. The East Coast convenience chain is known for its promotional gas prices on holidays, such as gas for $1.776 on the Fourth of July.",2024-04-18 17:40:00,Sheetz accused of racial discrimination in its hiring process,https://edition.cnn.com/2024/04/18/business/sheetz-racial-discrimination-lawsuit/index.html
Bryan Mena,"Mortgage rates soared this week, breaching the key 7% threshold and extending America’s housing affordability crisis.The 30-year fixed-rate mortgage averaged 7.10% in the week ending April 18, up from 6.88% the previous week, according to Freddie Mac data released Thursday. A year ago, the average 30-year fixed-rate was 6.39%.Breaching 7% represents a psychological threshold that hadn’t yet been crossed this year and adds to pressures buffeting the US housing market during the crucial spring homebuying season.Mortgage rates are climbing based on expectations that the Federal Reserve won’t cut interest rates anytime soon. The Fed doesn’t directly set mortgage rates, but its actions do influence them, and persistently hot inflation readings are keeping the Fed on hold.“As rates trend higher, potential homebuyers are deciding whether to buy before rates rise even more or hold off in hopes of decreases later in the year,” said Sam Khater, Freddie Mac’s chief economist, in a statement.In a separate report, the National Association of Realtors reported that US home sales declined sharply in March in a sign that homebuyers are waiting on the sidelines as they contend with a tough housing market.<h2>Americans might not get much of a break this year</h2>Fed officials have already signaled they expect fewer rate cuts this year than they previously thought, based on recent economic data showing that progress on inflation has stalled. Some economists have floated the possibility that the Fed might not cut rates this year at all — and a couple of central bank officials have even mentioned the possibility of another rate hike.That has sent bond yields soaring. Mortgage rates track the benchmark 10-year US Treasury yield, which has risen to its highest level since November at 4.637%. The Consumer Price Index for March came in hotter than expected, weighing on the stock market and also prompting forecasters to push back their estimates for the first rate cut.If inflation stalls further, or even worsens, mortgage rates could climb higher.“Homebuying is such a major decision that people have the calculator in front of them. So if it’s 7.01% then it’ll be an emotional shock, but nonetheless I think they’re going to plant a number into the calculator and see whether their monthly payment is manageable or not,” NAR chief economist Lawrence Yun said on a call with reporters Thursday.Home buyers are being stymied not just by high mortgage rates, but also by elevated home prices nationwide.The median price of an existing home was $393,500 last month, NAR reported Thursday, an increase of 4.8% from a year earlier. That was the highest March price on record. February prices also reached a record high. Today’s housing market is tough by many measures, but Americans are also enjoying one of the strongest job markets in history.<h2>A persistent undersupply of housing</h2>A lack of inventory has been a longstanding issue for America’s housing market.That has slowly improved in recent months, rising 4.7% in March from the prior month and up 14.4% last month year-over-year, according to NAR data. But housing supply overall still isn’t keeping up with demand, which is weighing on affordability.“We need more inventory, definitely, for the health of the market,” Yun said.Homeowners who locked in a low mortgage rate before the Fed began to hike rates in 2022 have largely preferred to not sell their homes. Yun has said previously that life changes such as marriage, divorce and new children could eventually force those homeowners to just give up on waiting for mortgage rates to fall and sell their homes.At the current pace of sales, it would take 3.2 months to exhaust the current level of homes on the market, up from 2.9 months in February and 2.7 months in March 2023.<h2>Uncertainty over NAR settlement</h2>There is also lingering uncertainty over the historic NAR settlement that was announced in March and is expected to change how homebuyers and sellers pay their real estate agents. It hasn’t been approved by the courts yet, but it is already changing the behavior of home shoppers and sellers — even before new rules take effect in July.Yun said first-time buyers trickled back into the market last month “because people heard about the lawsuit settlement where the buyers possibly need to come up with extra funds to pay for professional representation, but they want to do it before the new rules take place.”Prospective homebuyers have told CNN they’re hopeful that the settlement will mean lower homes prices, offsetting the pain of elevated mortgage rates, but many Realtors say there are many unknowns.“This is unchartered territory,” Debra Dobbs, a Realtor in Chicago, told CNN previously of the potential new rules.This story has been updated with additional developments and context.",2024-04-18 14:54:00,"Mortgage rates surge past 7%, reaching highest level since November",https://edition.cnn.com/2024/04/18/economy/mortgage-rates-7-percent/index.html
